2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 21:58:46,898 - St: gail, Ep: 581, Rew: 131.8515, ag_num: 2, time: 194.5714, final: 145.6648, pol_l: 0.0057, kl: -0.0, val_l: 3.2962, ag_rew: 0.479, ex_rew: 1.5847, dis_l: 0.9636
2021-12-27 21:59:17,839 - St: gail, Ep: 582, Rew: 167.6185, ag_num: 2, time: 186.9355, final: 157.5315, pol_l: 0.006, kl: -0.0, val_l: 3.0495, ag_rew: 0.482, ex_rew: 1.5114, dis_l: 1.0001
2021-12-27 22:00:00,032 - St: gail, Ep: 583, Rew: 136.1417, ag_num: 2, time: 171.5789, final: 135.1763, pol_l: 0.0042, kl: -0.0, val_l: 4.2135, ag_rew: 0.4898, ex_rew: 1.5439, dis_l: 0.9729
2021-12-27 22:00:36,229 - St: gail, Ep: 584, Rew: 135.9482, ag_num: 2, time: 198.9444, final: 136.1126, pol_l: 0.0035, kl: -0.0, val_l: 3.0287, ag_rew: 0.4929, ex_rew: 1.5537, dis_l: 0.9814
2021-12-27 22:01:08,084 - St: gail, Ep: 585, Rew: 137.7261, ag_num: 2, time: 238.3871, final: 175.3733, pol_l: 0.0037, kl: 0.0042, val_l: 3.4663, ag_rew: 0.4593, ex_rew: 1.6313, dis_l: 0.9374
2021-12-27 22:01:42,286 - St: gail, Ep: 586, Rew: 159.5766, ag_num: 2, time: 192.8667, final: 143.4485, pol_l: -0.0108, kl: 0.0065, val_l: 3.4138, ag_rew: 0.4828, ex_rew: 1.5825, dis_l: 0.9779
2021-12-27 22:02:14,263 - St: gail, Ep: 587, Rew: 124.9141, ag_num: 2, time: 186.575, final: 136.927, pol_l: -0.0145, kl: 0.0059, val_l: 4.8423, ag_rew: 0.4587, ex_rew: 1.6061, dis_l: 0.9362
2021-12-27 22:02:43,967 - St: gail, Ep: 588, Rew: 160.5119, ag_num: 2, time: 203.7667, final: 159.8575, pol_l: -0.0147, kl: 0.0072, val_l: 4.6962, ag_rew: 0.4509, ex_rew: 1.6608, dis_l: 0.9064
2021-12-27 22:03:16,766 - St: gail, Ep: 589, Rew: 120.6002, ag_num: 2, time: 151.2093, final: 129.9295, pol_l: -0.0133, kl: 0.0053, val_l: 4.6276, ag_rew: 0.4457, ex_rew: 1.667, dis_l: 0.9122
2021-12-27 22:03:46,011 - St: gail, Ep: 590, Rew: 163.0139, ag_num: 2, time: 211.6667, final: 171.1611, pol_l: 0.0051, kl: 0.004, val_l: 4.3862, ag_rew: 0.5081, ex_rew: 1.5127, dis_l: 1.0216
2021-12-27 22:04:18,969 - St: gail, Ep: 591, Rew: 135.4061, ag_num: 2, time: 184.2222, final: 158.1582, pol_l: -0.0007, kl: 0.0066, val_l: 3.8093, ag_rew: 0.4737, ex_rew: 1.5827, dis_l: 0.9519
